Customer_id,First_name,Last_name,Country,Gender,Age,Winning_percentage,Days_Since_Last_Bet,Income_Level_(k),Total_Amount_wagered,Average_Bet_Amount,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_bets_after_bonus,Increase_in_wagering_after_bonus,Should_Receive_Bonus,withdraw_frequency
590702,Tina,Kelly,India,Female,64,10,29,22280,7582,530.0,12,29.0,64705.0,46.0,590.0,2446.0,245.0,25713.0,1,Monthly
362526,Charles,Tucker,India,Male,21,65,5,22221,8386,859.0,54,29.0,32437.0,46.0,571.0,3675.0,217.0,29767.0,1,Weekly
996766,Lynn,Powell,Mexico,Female,38,39,32,32200,6913,435.0,52,20.0,49025.0,42.0,792.0,1895.0,287.0,25838.0,0,Weekly
790032,Darren,Preston,Argentina,Male,53,21,35,30328,28177,433.0,47,14.0,43393.0,51.0,434.0,2935.0,156.0,20973.0,1,Weekly
400098,Barbara,Nguyen,Mexico,Male,37,39,19,24697,2134,385.0,316,11.0,31910.0,34.0,223.0,2584.0,196.0,17254.0,0,Daily
908981,Pedro,Lawrence,Mexico,Female,36,60,8,36816,6481,537.0,54,41.0,52008.0,79.0,540.0,3397.0,208.0,25057.0,1,Weekly
402628,David,Deleon,Argentina,Male,69,44,3,30183,8753,388.0,46,19.0,30810.0,35.0,460.0,1044.0,236.0,17190.0,1,Weekly
955252,Grace,Bryant,Mexico,Male,64,20,22,22153,13155,367.0,53,30.0,55275.0,62.0,608.0,3359.0,386.0,17499.0,1,Weekly
195254,Mary,Franklin,Argentina,Male,55,63,17,33137,6746,456.0,14,30.0,49609.0,43.0,657.0,2957.0,240.0,21737.0,0,Monthly
101592,Charles,Hall,India,Female,42,57,28,21675,26606,571.0,8,29.0,51906.0,54.0,695.0,2529.0,274.0,15872.0,1,Monthly
158371,Brett,Scott,India,Male,47,12,10,20400,17054,655.0,46,19.0,49159.0,63.0,675.0,4064.0,293.0,25144.0,1,Weekly
749201,Dale,Schwartz,Argentina,Male,45,26,39,33756,3219,536.0,313,29.0,57002.0,66.0,442.0,2202.0,220.0,35312.0,1,Daily
326033,Elijah,Reid,Brazil,Female,43,7,1,22252,16389,458.0,9,31.0,41699.0,43.0,310.0,2524.0,327.0,24450.0,1,Monthly
123725,John,Lee,Argentina,Female,61,39,35,22480,10234,522.0,9,25.0,41784.0,18.0,432.0,3014.0,267.0,25976.0,0,Monthly
974090,Edward,Jennings,Brazil,Female,35,54,38,27732,6794,382.0,53,24.0,46844.0,42.0,525.0,2597.0,304.0,17214.0,0,Weekly
961562,Nicole,Jones,Mexico,Female,48,56,18,30642,12211,594.0,7,31.0,50181.0,68.0,611.0,3087.0,319.0,33958.0,0,Occasionally
460368,Joshua,Cummings,Mexico,Female,20,66,21,30080,14627,501.0,54,28.0,50280.0,25.0,384.0,2576.0,246.0,18903.0,0,Weekly
141664,Ronald,Miller,Mexico,Female,64,75,20,27686,23842,575.0,352,30.0,68864.0,44.0,425.0,3863.0,253.0,29262.0,0,Daily
859828,Elizabeth,Sanchez,Brazil,Female,31,37,4,52743,5724,591.0,45,33.0,60975.0,51.0,760.0,1595.0,380.0,31434.0,0,Weekly
557996,Don,Murray,Argentina,Female,22,66,24,48504,1817,402.0,7,26.0,56284.0,36.0,404.0,2513.0,283.0,18070.0,0,Monthly
510812,John,Jenkins,India,Female,65,24,38,34565,20073,651.0,7,29.0,59975.0,60.0,437.0,2477.0,273.0,23441.0,0,Monthly
469372,Alejandro,Horton,India,Male,64,23,6,33483,15534,558.0,6,26.0,48481.0,56.0,426.0,2735.0,352.0,19053.0,1,Occasionally
284762,Justin,Warren,India,Male,26,56,3,21246,266,354.0,329,25.0,38121.0,33.0,412.0,2351.0,224.0,31040.0,1,Daily
482241,Connie,Davis,Argentina,Female,37,45,25,29506,23735,520.0,7,30.0,84249.0,56.0,429.0,2240.0,103.0,23338.0,1,Occasionally
301712,Amy,Estes,Brazil,Male,52,59,18,27981,1974,395.0,51,35.0,49151.0,37.0,592.0,3730.0,280.0,27176.0,0,Weekly
879093,Heather,Parker,Mexico,Female,33,48,32,41634,506,609.0,332,29.0,57135.0,52.0,496.0,2721.0,221.0,34683.0,0,Daily
892129,Joseph,Williams,Brazil,Female,61,37,7,21797,3885,793.0,346,43.0,56466.0,76.0,614.0,3152.0,409.0,28758.0,0,Daily
999981,Dustin,Blankenship,Argentina,Male,32,46,25,20781,7632,696.0,307,26.0,22999.0,36.0,609.0,2694.0,281.0,15138.0,1,Daily
171529,Michael,Ortega,India,Female,18,22,22,28405,8709,368.0,46,23.0,57645.0,31.0,439.0,2606.0,267.0,14131.0,1,Weekly
724071,Danielle,Garza,Brazil,Female,41,24,22,21875,28484,496.0,9,27.0,55365.0,40.0,490.0,3389.0,335.0,24278.0,1,Monthly
847915,Omar,Morton,India,Male,68,64,29,31107,35386,432.0,10,33.0,47874.0,27.0,694.0,2952.0,364.0,20407.0,0,Monthly
869391,Darin,Williams,Brazil,Male,61,49,11,25078,17997,672.0,46,29.0,54374.0,65.0,568.0,2855.0,320.0,36057.0,0,Weekly
640489,Wesley,Stanton,Mexico,Male,53,46,35,27851,4079,479.0,46,23.0,43245.0,41.0,470.0,2259.0,295.0,24905.0,0,Weekly
834444,Joseph,Cochran,Brazil,Female,26,6,20,25328,30580,457.0,336,27.0,25649.0,59.0,604.0,2851.0,255.0,32722.0,0,Daily
350342,Tracy,Jones,Argentina,Male,48,50,16,24778,3391,441.0,330,34.0,50978.0,35.0,532.0,1131.0,189.0,15077.0,1,Daily
523537,Brandi,Jackson,Argentina,Male,42,47,20,43410,59351,612.0,7,33.0,76584.0,60.0,704.0,2897.0,261.0,25873.0,0,Occasionally
501450,Maureen,Knight,Argentina,Male,41,47,15,23743,18488,182.0,354,24.0,37521.0,36.0,408.0,3149.0,248.0,30765.0,0,Daily
743176,Thomas,Jones,Argentina,Female,50,77,12,21506,2577,512.0,314,22.0,58927.0,31.0,398.0,3253.0,269.0,19087.0,1,Daily
606817,Lindsey,Rivera,Mexico,Male,47,14,22,23695,3982,553.0,49,35.0,51929.0,56.0,502.0,2109.0,289.0,20666.0,0,Weekly
706260,Carolyn,Zimmerman,India,Male,65,76,38,21469,434,365.0,10,20.0,54381.0,66.0,502.0,1734.0,319.0,30996.0,0,Monthly
555039,Gary,Rodriguez,Mexico,Female,42,42,14,33532,1599,593.0,341,37.0,67202.0,57.0,606.0,1573.0,299.0,25117.0,1,Daily
981122,Tom,King,Mexico,Female,50,30,35,28309,9670,474.0,6,30.0,59717.0,35.0,543.0,3604.0,402.0,15447.0,1,Occasionally
728163,Amy,Wilson,Mexico,Female,40,79,29,22624,27483,486.0,8,20.0,72255.0,55.0,560.0,2771.0,302.0,28051.0,0,Monthly
606924,Dawn,Cowan,Argentina,Male,58,76,26,41722,9925,491.0,338,27.0,54423.0,58.0,435.0,2679.0,299.0,33231.0,1,Daily
433755,Kevin,Walker,India,Male,66,45,37,21902,2740,505.0,49,26.0,52448.0,43.0,326.0,1722.0,264.0,21030.0,1,Weekly
652678,Joseph,Kline,Argentina,Female,61,41,28,40076,3660,695.0,7,31.0,68659.0,68.0,624.0,1521.0,247.0,40436.0,1,Occasionally
907759,Nathan,Gomez,India,Male,56,46,21,28827,70068,854.0,52,31.0,47229.0,69.0,586.0,3233.0,278.0,17761.0,0,Weekly
125984,Chelsea,Clark,Argentina,Female,65,6,35,24525,4878,720.0,45,32.0,57543.0,45.0,812.0,2938.0,349.0,24753.0,0,Weekly
114766,Jodi,Welch,Argentina,Female,31,70,5,23231,265,447.0,6,21.0,54677.0,48.0,539.0,3574.0,364.0,23532.0,0,No
594925,Alicia,Richard,Mexico,Male,48,66,38,25610,8588,364.0,7,27.0,47241.0,30.0,506.0,2025.0,170.0,20102.0,0,Monthly
967509,April,Daniel,India,Female,28,26,5,22853,55113,452.0,54,24.0,53283.0,47.0,366.0,2123.0,140.0,22607.0,1,Weekly
920971,Robert,Joyce,Mexico,Male,44,71,18,31785,7119,460.0,50,17.0,46105.0,47.0,609.0,2389.0,373.0,31999.0,1,Weekly
231663,Kevin,Johnson,Mexico,Female,49,62,28,20139,2856,425.0,53,28.0,36251.0,60.0,515.0,2639.0,288.0,31870.0,1,Weekly
214605,Jennifer,Smith,Argentina,Female,23,22,8,34718,9925,472.0,9,22.0,70482.0,54.0,738.0,3167.0,263.0,21575.0,1,Occasionally
264179,Bradley,Reed,India,Female,28,18,12,38458,16114,393.0,4,34.0,43121.0,38.0,549.0,1785.0,292.0,30276.0,1,No
613946,Amy,Diaz,India,Male,67,5,11,42338,1478,436.0,51,18.0,66190.0,57.0,425.0,2684.0,170.0,13670.0,1,Weekly
752990,Theodore,Perez,India,Female,45,60,28,29752,12487,503.0,12,19.0,60439.0,37.0,792.0,3798.0,377.0,23807.0,1,Monthly
448657,Hannah,Robinson,India,Female,48,50,22,27457,8464,660.0,13,45.0,52967.0,39.0,770.0,3691.0,426.0,27099.0,0,Monthly
759438,Rachel,Mathis,Mexico,Male,29,44,36,34219,266,548.0,8,24.0,52883.0,47.0,473.0,1242.0,200.0,26600.0,0,Monthly
237124,Casey,Jones,Argentina,Male,58,57,37,23447,14906,613.0,9,31.0,64856.0,44.0,608.0,3661.0,283.0,21984.0,0,Occasionally
563072,Andrew,Brown,India,Female,38,49,37,27872,41996,247.0,6,20.0,30034.0,26.0,526.0,4070.0,333.0,23798.0,1,Occasionally
521771,Stephen,Kelly,Argentina,Male,46,26,22,46894,2047,519.0,51,29.0,77118.0,65.0,887.0,2955.0,292.0,33617.0,0,Weekly
692509,Theresa,Cervantes,Argentina,Male,38,8,22,21353,20897,515.0,342,34.0,44202.0,44.0,643.0,3377.0,270.0,17937.0,0,Daily
578064,Nicholas,Bryan,Mexico,Male,49,16,12,21169,1265,544.0,53,35.0,58359.0,62.0,521.0,2971.0,247.0,13601.0,1,Weekly
142220,Susan,Martin,Argentina,Female,54,35,25,21512,12615,431.0,5,26.0,42559.0,63.0,760.0,2482.0,274.0,16272.0,0,Occasionally
625720,Anne,Fuller,Mexico,Male,31,60,33,62296,41092,353.0,345,29.0,68273.0,34.0,478.0,2492.0,247.0,27940.0,0,Daily
406001,Randy,Garcia,Argentina,Female,53,31,11,21303,10000,663.0,52,27.0,37221.0,38.0,573.0,3352.0,342.0,22355.0,1,Weekly
172165,Erik,Dougherty,Argentina,Female,20,21,30,31937,20018,439.0,354,23.0,42662.0,41.0,369.0,2684.0,250.0,37203.0,0,Daily
668243,Kimberly,Adams,Brazil,Male,54,63,24,31558,10531,546.0,10,30.0,48891.0,65.0,436.0,2809.0,356.0,39189.0,1,Monthly
229309,Alfred,Davila,Mexico,Male,49,32,23,27160,16601,568.0,50,25.0,50994.0,68.0,802.0,3447.0,191.0,26765.0,0,Weekly
603343,Derrick,Guerrero,Mexico,Male,55,37,35,32046,43081,626.0,52,16.0,48211.0,57.0,555.0,2984.0,224.0,22060.0,0,Weekly
281019,Susan,Hayden,Brazil,Male,48,73,39,21330,12637,560.0,49,36.0,47590.0,22.0,601.0,2820.0,226.0,24946.0,0,Weekly
921815,Ashley,Harris,Argentina,Male,29,68,27,22936,12790,832.0,47,41.0,51586.0,40.0,328.0,2308.0,270.0,31975.0,0,Weekly
744565,Brandon,Armstrong,India,Female,54,23,13,60193,10744,585.0,310,35.0,66039.0,33.0,576.0,2492.0,216.0,4123.0,0,Daily
210165,Kimberly,Smith,Brazil,Female,32,74,37,28929,9970,441.0,8,22.0,41115.0,38.0,403.0,1664.0,328.0,21876.0,0,Monthly
896788,Jesus,Wood,Mexico,Female,33,22,16,24715,11681,319.0,12,25.0,45106.0,45.0,479.0,2235.0,201.0,19756.0,0,Monthly
604188,Suzanne,Wilson,Mexico,Male,20,63,18,23290,18371,537.0,7,27.0,48233.0,54.0,457.0,2657.0,243.0,25555.0,0,Monthly
982186,Lee,Dougherty,Mexico,Female,45,78,13,33321,2555,201.0,322,43.0,79239.0,45.0,520.0,3986.0,274.0,11675.0,1,Daily
209355,Sandra,Robbins,Argentina,Female,26,23,6,24931,30653,636.0,7,33.0,60254.0,56.0,776.0,1892.0,335.0,26292.0,1,Occasionally
393069,Brian,Cross,Argentina,Male,33,45,33,46637,9467,505.0,348,23.0,55433.0,80.0,535.0,3328.0,209.0,40883.0,1,Daily
559777,Angela,Butler,Mexico,Male,21,31,26,26113,5371,548.0,10,27.0,32806.0,48.0,549.0,2933.0,237.0,11329.0,1,Monthly
900612,Ronald,Briggs,Mexico,Female,49,46,8,38540,5377,349.0,51,34.0,54603.0,59.0,532.0,2683.0,256.0,21525.0,0,Weekly
872523,Austin,White,Mexico,Female,67,54,35,29527,23116,480.0,52,36.0,66131.0,61.0,549.0,2129.0,302.0,29564.0,1,Weekly
267044,John,Hughes,Argentina,Male,66,78,3,23526,4092,497.0,336,31.0,46468.0,42.0,706.0,4060.0,254.0,19487.0,0,Daily
608940,Kevin,Lopez,Brazil,Female,68,52,38,33391,14533,706.0,7,32.0,54156.0,63.0,711.0,3978.0,357.0,32122.0,0,Monthly
278552,Jonathan,Farrell,Argentina,Female,48,26,28,24668,1149,417.0,49,22.0,32292.0,22.0,514.0,2793.0,348.0,22629.0,0,Weekly
409303,Donald,Gallagher,India,Female,44,51,33,30062,35364,443.0,310,23.0,63155.0,35.0,341.0,2672.0,204.0,30551.0,0,Daily
563573,Lori,Turner,India,Male,48,62,12,23153,34562,385.0,331,21.0,37241.0,30.0,495.0,2391.0,151.0,24997.0,0,Daily
154038,Debra,Anderson,Argentina,Male,22,25,39,20987,5051,546.0,8,38.0,43831.0,55.0,574.0,3777.0,273.0,27985.0,0,Occasionally
623731,Crystal,Chambers,Brazil,Male,67,5,4,25772,572,404.0,9,26.0,38841.0,53.0,700.0,3064.0,370.0,26580.0,1,Monthly
771894,Tamara,Lane,Mexico,Female,42,46,30,77601,16070,544.0,53,19.0,63183.0,68.0,457.0,2770.0,211.0,24464.0,1,Weekly
472688,Brian,Boyd,Brazil,Male,57,75,3,27155,11114,559.0,48,22.0,73215.0,59.0,762.0,3601.0,411.0,28555.0,1,Weekly
506214,Kelly,Stevenson,Brazil,Male,18,67,37,34963,11152,489.0,8,21.0,48305.0,32.0,303.0,2440.0,259.0,24478.0,0,Monthly
309377,Timothy,Chase,Mexico,Female,31,59,8,20935,20663,606.0,5,27.0,54673.0,53.0,527.0,3272.0,342.0,36528.0,0,Occasionally
741220,Brandi,Garrett,Argentina,Male,47,78,38,23911,52840,689.0,54,39.0,59328.0,50.0,508.0,2606.0,339.0,29798.0,0,Weekly
678055,Destiny,Harmon,Argentina,Female,21,44,27,48089,2443,610.0,13,37.0,53611.0,52.0,452.0,1497.0,263.0,22327.0,1,Monthly
911006,Joshua,Klein,Argentina,Female,48,50,25,21770,34155,415.0,11,31.0,72960.0,57.0,606.0,3014.0,204.0,26543.0,1,Monthly
234171,Steven,Ortiz,Argentina,Female,70,45,17,72469,3035,482.0,328,27.0,75733.0,55.0,688.0,1815.0,341.0,23021.0,0,Daily
515142,Teresa,Lee,Brazil,Female,25,68,5,28879,1827,453.0,8,26.0,34166.0,58.0,551.0,2706.0,268.0,19024.0,0,Occasionally
752092,Anna,Parrish,Argentina,Female,45,68,2,30625,1243,444.0,50,22.0,31565.0,52.0,568.0,2470.0,322.0,30577.0,1,Weekly
347694,Katie,Duarte,Argentina,Male,35,44,24,41994,6964,522.0,338,30.0,48594.0,50.0,476.0,1581.0,311.0,22211.0,0,Daily
387935,Anna,Hensley,India,Male,43,11,5,22787,38222,652.0,7,28.0,33613.0,39.0,426.0,2752.0,302.0,15566.0,1,Monthly
529997,Janet,Joyce,Mexico,Male,28,59,33,32658,2082,366.0,319,22.0,69598.0,39.0,416.0,3077.0,316.0,26161.0,1,Daily
283572,Diana,Walton,India,Male,51,75,34,60098,56653,498.0,53,28.0,64238.0,61.0,362.0,2124.0,319.0,32062.0,0,Weekly
365621,David,Hall,Brazil,Male,39,55,37,37990,2482,608.0,49,25.0,36739.0,62.0,674.0,2527.0,196.0,29908.0,0,Weekly
457871,Jack,Weeks,Argentina,Male,70,19,29,31746,2486,112.0,8,18.0,38644.0,33.0,318.0,2108.0,340.0,36852.0,1,Occasionally
909420,Sherry,Carter,Argentina,Female,40,59,25,47844,49766,667.0,52,37.0,81491.0,62.0,740.0,2848.0,311.0,26366.0,0,Weekly
882467,Erik,Mcdaniel,India,Female,52,74,12,34890,15000,422.0,14,25.0,45324.0,33.0,315.0,2419.0,278.0,34583.0,0,Monthly
981221,John,Brown,Argentina,Female,37,37,11,27254,30324,347.0,336,22.0,61691.0,33.0,524.0,1254.0,261.0,32782.0,1,Daily
304737,Erica,Nelson,Mexico,Male,52,43,8,21237,4895,171.0,12,29.0,68973.0,40.0,605.0,1703.0,314.0,27994.0,1,Monthly
571776,Richard,Myers,Mexico,Male,65,26,39,43889,5231,521.0,52,31.0,45064.0,46.0,693.0,3773.0,311.0,17185.0,0,Weekly
116991,Ronald,Lane,India,Female,26,59,11,41990,5093,307.0,53,24.0,60306.0,23.0,343.0,3148.0,297.0,13410.0,1,Weekly
404058,Tammy,Parker,Mexico,Female,68,62,2,27768,4737,526.0,46,22.0,55459.0,30.0,272.0,2484.0,241.0,28598.0,1,Weekly
131576,Ashlee,Summers,India,Male,37,67,30,50011,17506,668.0,52,31.0,64756.0,48.0,542.0,2233.0,326.0,27379.0,1,Weekly
906499,Jennifer,Campbell,Brazil,Male,48,72,24,20203,34263,596.0,6,25.0,31921.0,65.0,561.0,3306.0,202.0,18964.0,0,Occasionally
413188,Michael,Grant,Mexico,Male,49,71,10,29282,1665,588.0,10,24.0,37242.0,58.0,618.0,2839.0,238.0,27469.0,1,Monthly
696978,Chase,Burton,India,Female,66,73,12,21362,23071,10.0,7,20.0,28163.0,30.0,179.0,806.0,265.0,21412.0,0,Occasionally
461368,Kristi,Gonzalez,Mexico,Male,60,38,6,22148,12923,665.0,7,27.0,45063.0,54.0,652.0,3378.0,321.0,26859.0,0,Monthly
258513,Lauren,Higgins,India,Female,65,12,18,55385,28994,540.0,49,25.0,59529.0,46.0,427.0,770.0,250.0,29757.0,1,Weekly
249037,Terri,Peterson,Brazil,Male,59,74,11,28369,13940,574.0,7,29.0,62086.0,60.0,340.0,1776.0,189.0,30599.0,1,Occasionally
661279,Alicia,Johnston,Brazil,Female,59,76,31,49837,3501,351.0,45,34.0,69107.0,38.0,563.0,3493.0,199.0,34235.0,1,Weekly
964277,Mario,Lowe,Argentina,Female,47,45,21,31985,3490,542.0,13,35.0,49466.0,39.0,586.0,1805.0,258.0,30593.0,0,Monthly
753574,Ann,White,Argentina,Female,63,15,12,31618,12035,702.0,352,20.0,26163.0,50.0,389.0,1812.0,233.0,18611.0,0,Daily
986285,Latoya,Cooper,Argentina,Female,62,53,32,25382,13597,637.0,45,24.0,45616.0,38.0,569.0,3106.0,318.0,6783.0,1,Weekly
634228,Yesenia,Wong,Mexico,Male,23,72,14,20301,44135,144.0,8,11.0,42809.0,48.0,557.0,1809.0,245.0,16761.0,1,Monthly
452971,Amanda,Ellis,Brazil,Female,23,20,34,31506,15767,431.0,334,20.0,45592.0,35.0,536.0,3134.0,203.0,18455.0,0,Daily
715322,Robert,Simpson,India,Male,60,45,33,25842,10573,533.0,12,28.0,45027.0,33.0,502.0,3086.0,294.0,30999.0,0,Monthly
264488,Emily,Marquez,Mexico,Male,63,29,38,20392,30263,663.0,47,28.0,40820.0,45.0,451.0,2685.0,286.0,24940.0,0,Weekly
848356,Carrie,Pearson,Argentina,Male,40,13,27,43696,16257,383.0,339,35.0,62951.0,37.0,628.0,2177.0,305.0,27522.0,1,Daily
455188,Mary,Taylor,India,Male,22,7,32,33899,24529,487.0,8,41.0,63015.0,38.0,360.0,4161.0,266.0,25722.0,1,No
794712,Shannon,White,India,Male,44,77,35,24919,1347,566.0,50,30.0,52448.0,45.0,606.0,2331.0,231.0,23505.0,0,Weekly
203168,Michele,Garcia,Mexico,Female,29,51,10,25718,12585,254.0,11,22.0,43615.0,46.0,497.0,2692.0,285.0,25103.0,0,Monthly
